,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
2827,MLS Listing,,Condo/Co-op,200 E 59th St Unit 30D,New York,NY,10022.0,4795000.0,2.0,2.0,Midtown Central,1555.0,2625.0,2017.0,36.0,3084.0,2692.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-30D/home/184725918,REBNY,RPLU-5122320659,N,Y,40.7613293,-73.9664571
2828,MLS Listing,,Condo/Co-op,200 E 59th St Unit 9C,New York,NY,10022.0,1850000.0,1.0,1.0,Midtown Central,977.0,2625.0,2017.0,36.0,1894.0,1695.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-9C/home/184725920,REBNY,RPLU-5122320226,N,Y,40.7613293,-73.9664571
2829,MLS Listing,,Condo/Co-op,200 E 59th St Unit 18C,New York,NY,10022.0,2265000.0,1.0,1.0,Midtown Central,977.0,2625.0,2017.0,36.0,2318.0,1695.0,Active,April-23-2023 01:00 AM,April-23-2023 03:00 AM,https://www.redfin.com/NY/New-York/200-E-59th-St-10022/unit-18C/home/184725919,REBNY,RPLU-5122320447,N,Y,40.7613293,-73.9664571
2830,MLS Listing,,Condo/Co-op,221 E 50th St Unit 6-B,New York,NY,10022.0,275000.0,0.0,1.0,Turtle Bay,,6030.0,1931.0,36.0,,1009.0,Active,,,https://www.redfin.com/NY/New-York/221-E-50th-St-10022/unit-6B/home/183779947,REBNY,OLRS-2017885,N,Y,40.7555802,-73.9698254
2831,MLS Listing,,Condo/Co-op,450 E 52nd St,New York,NY,10022.0,12000000.0,2.0,2.5,Beekman,3000.0,5400.0,1927.0,36.0,4000.0,12916.0,Active,,,https://www.redfin.com/NY/New-York/450-E-52nd-St-10022/home/45282026,REBNY,RPLU-5120851057,N,Y,40.7540281,-73.9633333
2832,MLS Listing,,Condo/Co-op,319 E 50th St Unit 10F,New York,NY,10022.0,419000.0,0.0,1.0,319 East 50th Street,500.0,,1931.0,36.0,838.0,1178.0,Active,,,https://www.redfin.com/NY/New-York/319-E-50th-St-10022/unit-10F/home/45154672,OneKey,3464930,N,Y,40.754773,-73.96756
2833,MLS Listing,,Condo/Co-op,225 E 57th St Unit 12J,New York,NY,10022.0,645000.0,1.0,1.0,Midtown Central,900.0,26712.0,1964.0,36.0,717.0,2234.0,Active,,,https://www.redfin.com/NY/New-York/225-E-57th-St-10022/unit-12J/home/184722869,REBNY,RPLU-33422319823,N,Y,40.7600656,-73.9664566
2834,MLS Listing,,Condo/Co-op,320 E 57th St Unit 11B,New York,NY,10022.0,649000.0,1.0,1.0,Sutton,,9539.0,1927.0,36.0,,2176.0,Active,,,https://www.redfin.com/NY/New-York/320-E-57th-St-10022/unit-11B/home/160965085,REBNY,RPLU-33422330002,N,Y,40.7588081,-73.9647057
2835,MLS Listing,,Condo/Co-op,227 E 57th St Unit 2-F,New York,NY,10022.0,490000.0,1.0,1.0,Midtown Central,,8033.0,1930.0,37.0,,1680.0,Active,,,https://www.redfin.com/NY/New-York/227-E-57th-St-10022/unit-2F/home/105884629,REBNY,OLRS-00011552385,N,Y,40.7598525,-73.9660434
2836,MLS Listing,,Condo/Co-op,400 E 51st St Unit 9A,New York,NY,10022.0,2725000.0,3.0,3.0,Beekman,1812.0,9233.0,2001.0,37.0,1504.0,2805.0,Active,April-23-2023 01:00 PM,April-23-2023 03:00 PM,https://www.redfin.com/NY/New-York/400-E-51st-St-10022/unit-9A/home/45121723,REBNY,RPLU-33422334759,N,Y,40.754198,-73.9655694
